sourceText,text,level,part,translation,exampleJa,exampleEn,status,issues,notes
penetrate,penetrate,1,1,貫く / しみ込む,雨水が古い屋根を通してしみ込んできた。,Rainwater penetrated the old roof.,ready,,curated_batch08
conform,conform,1,1,(規則や基準に)従う,,All products must conform to safety standards.,ready,,matched_existing_exact
leave,leave,1,1,去る / 離れる,,She decided to leave the company in spring.,ready,,curated_batch43
tissue,tissue,1,1,組織,医師は検査のために少量の組織を採取した。,The doctor collected a small amount of tissue for testing.,ready,,curated_batch08
gut,gut,1,1,腸,その薬は腸の働きを整えるのに役立つ。,The medicine helps regulate the gut.,ready,,curated_batch08
lightning,lightning,1,1,稲妻 / 雷,嵐の夜に空を走る稲妻が見えた。,We saw lightning across the sky during the storm.,ready,,curated_batch08
camel,camel,1,1,ラクダ,その観光客たちは砂漠でラクダに乗った。,The tourists rode camels in the desert.,ready,,curated_batch08
antioxidant,antioxidant,1,1,抗酸化物質,その果物には抗酸化物質が多く含まれている。,The fruit contains many antioxidants.,ready,,curated_batch08
disorder,disorder,1,1,障害 / 異常,その医師は睡眠障害の専門家として知られている。,The doctor is known as a specialist in sleep disorders.,ready,,curated_batch08
cattle,cattle,1,1,牛,その農場では数百頭の牛が飼育されている。,Hundreds of cattle are raised on the farm.,ready,,curated_batch08
oath,oath,1,1,誓い / 宣誓,新しい職員たちは式で誓いの言葉を述べた。,The new staff members took an oath at the ceremony.,ready,,curated_batch08
monument,monument,1,1,記念碑,広場の中央には戦争犠牲者の記念碑が立っている。,A monument to the war victims stands in the center of the square.,ready,,curated_batch08
heating,heating,1,1,暖房,冬の間、この建物では暖房費が大きな負担になる。,Heating costs become a heavy burden in this building during winter.,ready,,curated_batch08
germ,germ,1,1,細菌 / ばい菌,手を洗うことはばい菌の広がりを防ぐのに役立つ。,Washing your hands helps prevent the spread of germs.,ready,,curated_batch08
legend,legend,1,1,伝説,その湖には古くから不思議な伝説が残っている。,An old mysterious legend remains about the lake.,ready,,curated_batch08
auditorium,auditorium,1,1,講堂 / ホール,卒業式は学校の大きな講堂で行われた。,The graduation ceremony was held in the school auditorium.,ready,,curated_batch08
therapy,therapy,1,1,治療,彼は手術のあとで長いリハビリ治療を受けた。,He received therapy for a long time after the surgery.,ready,,curated_batch08
heritage,heritage,1,1,遺産 / 伝統,その町は豊かな文化遺産で知られている。,The town is known for its rich cultural heritage.,ready,,curated_batch08
invasion,invasion,1,1,侵略 / 侵入,その歴史資料は外敵の侵略について記録している。,The historical record describes an invasion by foreign forces.,ready,,curated_batch08
instruction,instruction,1,1,指示 / 説明,作業を始める前に説明書の指示を読んでください。,Please read the instructions before starting the work.,ready,,curated_batch08
extinction,extinction,1,1,絶滅,その種は環境の変化によって絶滅の危機にある。,The species is in danger of extinction because of environmental changes.,ready,,curated_batch08
creativity,creativity,1,1,創造性,この授業は生徒の創造性を伸ばすことを重視している。,This class emphasizes the development of students' creativity.,ready,,curated_batch08
plantation,plantation,1,1,農園 / 大農園,その地域には茶の栽培で有名な大きな農園がある。,The region has a large plantation famous for growing tea.,ready,,curated_batch08
drought,drought,1,1,干ばつ,,The region suffered from a long drought last summer.,ready,,curated_batch17
wealth,wealth,1,1,富 / 財産,その国は豊かな天然資源によって富を築いてきた。,The country has built wealth through its rich natural resources.,ready,,curated_batch09
reminder,reminder,1,1,念押し / 思い出させるもの,会議の前日に確認のメールが届いた。,I received a reminder email the day before the meeting.,ready,,curated_batch09
inquiry,inquiry,1,1,問い合わせ / 照会,,We received an inquiry from a local school.,ready,,matched_existing_exact
investigation,investigation,1,1,調査 / 捜査,事故の原因について詳しい調査が行われている。,A detailed investigation is being conducted into the cause of the accident.,ready,,curated_batch09
boundary,boundary,1,1,境界,その川は二つの地域の境界になっている。,The river forms the boundary between the two regions.,ready,,curated_batch09
compartment,compartment,1,1,仕切られた部分 / 区画,かばんの小さな区画に鍵を入れておいた。,I put the key in a small compartment of the bag.,ready,,curated_batch09
substitute,substitute,1,1,代用品 / 代わりのもの,砂糖の代わりに別の甘味料を使った。,We used another sweetener as a substitute for sugar.,ready,,curated_batch09
hybrid,hybrid,1,1,ハイブリッドの / 混成の,その会社は対面とオンラインを組み合わせた混成型の研修を導入した。,The company introduced a hybrid training program combining in-person and online sessions.,ready,,curated_batch09
characteristic,characteristic,1,1,特徴,その地域の家には石造りという特徴がある。,Stone construction is a characteristic of houses in the region.,ready,,curated_batch09
incident,incident,1,1,事件 / 出来事,,The incident shocked the town.,ready,,matched_existing_exact
removal,removal,1,1,除去 / 取り外し,古い設備の除去には数日かかった。,The removal of the old equipment took several days.,ready,,curated_batch09
outcome,outcome,1,1,(最終的な)結果,,The outcome surprised everyone.,ready,,matched_existing_exact
altitude,altitude,1,1,高度,その村は海抜二千メートル近い高度にある。,The village stands at an altitude of nearly two thousand meters.,ready,,curated_batch09
closure,closure,1,1,閉鎖,大雪のため空港の一時閉鎖が決まった。,Temporary closure of the airport was decided because of heavy snow.,ready,,curated_batch09
compound,compound,1,1,化合物,その研究では新しい化合物の性質が調べられた。,The study examined the properties of a new compound.,ready,,curated_batch09
surplus,surplus,1,1,余剰 / 黒字,今年は予算に小さな余剰が出た。,This year the budget produced a small surplus.,ready,,curated_batch09
vaccine,vaccine,1,1,ワクチン,その病院では来月から新しいワクチンの接種が始まる。,The hospital will begin giving a new vaccine next month.,ready,,curated_batch09
obligation,obligation,1,1,義務,保護者には子どもの安全を守る義務がある。,Parents have an obligation to protect their children's safety.,ready,,curated_batch09
ritual,ritual,1,1,儀式 / 習慣的な行為,その地域では春の訪れを祝う伝統的な儀式が行われる。,A traditional ritual is held there to celebrate the arrival of spring.,ready,,curated_batch09
coral,coral,1,1,サンゴ,海水温の上昇がサンゴに深刻な影響を与えている。,Rising sea temperatures are having a serious effect on coral.,ready,,curated_batch09
relevant,relevant,1,1,関連のある,応募の前に関連する経験を整理しておくとよい。,It is helpful to organize relevant experience before applying.,ready,,curated_batch09
efficient,efficient,1,1,(無駄が少なく)効率的な,,The new system is more efficient.,ready,,matched_existing_exact
fragile,fragile,1,1,(壊れやすく)もろい,,Handle the glass carefully; it is fragile.,ready,,matched_existing_exact
impressive,impressive,1,1,印象的な,彼女の発表はとても印象的だった。,Her presentation was very impressive.,ready,,curated_batch09
offensive,offensive,1,1,不快な / 攻撃的な,その発言は多くの人にとって不快だった。,The remark was offensive to many people.,ready,,curated_batch09
distinct,distinct,1,1,(他と)明確に異なる,,The twins have distinct personalities.,ready,,matched_existing_exact
temporary,temporary,1,1,一時的な,その橋は修理が終わるまで一時的に閉鎖される。,The bridge will be closed on a temporary basis until repairs are finished.,ready,,curated_batch09
arrogant,arrogant,1,1,横柄な / 傲慢な,彼の横柄な態度に周囲の人は困っていた。,People around him were troubled by his arrogant attitude.,ready,,curated_batch09
spacious,spacious,1,1,広々とした,その図書館には広々とした閲覧室がある。,The library has a spacious reading room.,ready,,curated_batch09
reasonable,reasonable,1,1,妥当な / 手ごろな,その提案は費用の面でも妥当だと思う。,I think the proposal is reasonable in terms of cost.,ready,,curated_batch09
substantial,substantial,1,1,かなりの / 相当な,その都市は昨年、かなりの被害を受けた。,The city suffered substantial damage last year.,ready,,curated_batch09
disabled,disabled,1,1,障害のある,その施設には障害のある人のための設備が整っている。,The facility is equipped for disabled people.,ready,,curated_batch09
straightforward,straightforward,1,1,分かりやすい / 単純な,その手続きは思ったより分かりやすかった。,The procedure was more straightforward than I expected.,ready,,curated_batch09
tame,tame,1,1,飼いならす / 従順な,,It is not easy to tame a wild animal.,ready,,curated_batch17
mandatory,mandatory,1,1,義務的な / 強制の,安全講習への参加は全職員に義務づけられている。,Safety training is mandatory for all staff.,ready,,curated_batch09
edible,edible,1,1,食用の / 食べられる,その植物の一部は食用として使われている。,Some parts of the plant are edible.,ready,,curated_batch09
outstanding,outstanding,1,1,際立った / 優れた,彼女は研究で際立った成果を上げた。,She achieved outstanding results in her research.,ready,,curated_batch09
deadly,deadly,1,1,致命的な,そのガスは少量でも致命的になりうる。,Even a small amount of the gas can be deadly.,ready,,curated_batch09
petty,petty,1,1,ささいな / 小さな,ささいな意見の違いで大きな対立になることもある。,A petty disagreement can sometimes grow into a major conflict.,ready,,curated_batch09
definitely,definitely,1,1,確かに / 間違いなく,その映画は間違いなくもう一度見る価値がある。,The film is definitely worth watching again.,ready,,curated_batch09
roughly,roughly,1,1,およそ / 大まかに,会議はおよそ一時間続いた。,The meeting lasted roughly an hour.,ready,,curated_batch09
virtually,virtually,1,1,事実上 / ほとんど,その地域の雪は春までほとんど解けない。,The snow in the area virtually never melts until spring.,ready,,curated_batch09
apparently,apparently,1,1,どうやら / 見たところ,どうやら列車は天候のため遅れているらしい。,"Apparently, the train is delayed because of the weather.",ready,,curated_batch09
unfairly,unfairly,1,1,不公平に,彼は会議で不公平に批判されたと感じていた。,He felt that he had been criticized unfairly at the meeting.,ready,,curated_batch09
briefly,briefly,1,1,簡潔に / 短時間,彼女は計画の概要を簡潔に説明した。,She briefly explained the outline of the plan.,ready,,curated_batch09
aside,aside,1,1,わきへ / 別にして,,He pulled the chair aside.,ready,,curated_batch43
legally,legally,1,1,法律上,その土地は法律上まだ市の所有になっている。,The land still belongs to the city legally.,ready,,curated_batch09
resort,resort,1,1,頼る,,They had to resort to legal action.,ready,,curated_batch43
submit,submit,1,1,提出する,応募書類は金曜日までに提出してください。,Please submit the application documents by Friday.,ready,,curated_batch09
originate,originate,1,1,始まる / 生じる,その考えは小さな会話から生まれた。,The idea originated in a small conversation.,ready,,curated_batch10
cooperate,cooperate,1,1,(相手と)協力する,,The two companies agreed to cooperate.,ready,,matched_existing_exact
revise,revise,1,1,修正する / 見直す,委員会は提案書の一部を修正した。,The committee revised part of the proposal.,ready,,curated_batch10
restrict,restrict,1,1,(行動や自由を)制限する,,The library restricts access after 9 p.m.,ready,,matched_existing_exact
occupy,occupy,1,1,(場所や時間を)占める,,The boxes occupy too much space.,ready,,matched_existing_exact
fade,fade,1,1,薄れる / 消えていく,夕方になると山の色が少しずつ薄れていった。,The colors of the mountains began to fade in the evening.,ready,,curated_batch10
relieve,relieve,1,1,和らげる / 軽減する,その薬は痛みを和らげるのに役立った。,The medicine helped relieve the pain.,ready,,curated_batch10
suppress,suppress,1,1,抑える / 抑圧する,その薬はせきを抑える働きがある。,The medicine works to suppress coughing.,ready,,curated_batch10
starve,starve,1,1,飢える,干ばつのあと、多くの家畜がえさ不足で飢えた。,"After the drought, many animals starved from a lack of food.",ready,,curated_batch10
scratch,scratch,1,1,ひっかく / 傷をつける,その猫がドアをひっかいて外に出たがっていた。,The cat scratched the door because it wanted to go outside.,ready,,curated_batch10
unite,unite,1,1,団結させる / 結びつける,危機は地域の人々を一つにした。,The crisis united the people in the community.,ready,,curated_batch10
grip,grip,1,1,しっかり握る,彼は手すりをしっかり握って階段を下りた。,He gripped the handrail firmly as he went down the stairs.,ready,,curated_batch10
surrender,surrender,1,1,降伏する / 引き渡す,その兵士たちは最終的に武器を捨てて降伏した。,The soldiers eventually surrendered their weapons.,ready,,curated_batch10
twist,twist,1,1,ねじる / 曲げる,彼は足首をひねってしばらく歩けなかった。,He twisted his ankle and could not walk for a while.,ready,,curated_batch10
remodel,remodel,1,1,改装する,その店は来月、店内を全面的に改装する予定だ。,The store plans to remodel its interior next month.,ready,,curated_batch10
triple,triple,1,1,3倍にする / 3倍になる,その町の観光客数は十年で3倍になった。,The number of tourists in the town tripled in ten years.,ready,,curated_batch10
drown,drown,1,1,おぼれる,救助隊は川でおぼれかけた子どもを助けた。,The rescue team saved a child who was about to drown in the river.,ready,,curated_batch10
hover,hover,1,1,空中に止まる / うろつく,ヘリコプターが現場の上空でしばらく空中停止していた。,The helicopter hovered above the site for a while.,ready,,curated_batch10
interrupt,interrupt,1,1,さえぎる / 中断する,会議の途中で電話が話をさえぎった。,A phone call interrupted the meeting.,ready,,curated_batch10
socialize,socialize,1,1,交流する,新入生が交流しやすいようにイベントが開かれた。,An event was held so that new students could socialize.,ready,,curated_batch10
termite,termite,1,1,シロアリ,古い家はシロアリの被害を受けやすい。,Old houses are vulnerable to termites.,ready,,curated_batch10
microbe,microbe,1,1,微生物,その研究は土の中の微生物に注目している。,The study focuses on microbes in the soil.,ready,,curated_batch10
beverage,beverage,1,1,飲料,会場では温かい飲料も提供された。,Warm beverages were also served at the venue.,ready,,curated_batch10
paperwork,paperwork,1,1,書類仕事 / 事務手続き,申請のあとに多くの事務手続きが必要だった。,A lot of paperwork was required after the application.,ready,,curated_batch10
descendant,descendant,1,1,子孫,彼はその地域の最初の開拓者の子孫だという。,He is said to be a descendant of the area's first settlers.,ready,,curated_batch10
sculpture,sculpture,1,1,彫刻,公園には大きな金属の彫刻が置かれている。,A large metal sculpture stands in the park.,ready,,curated_batch10
handout,handout,1,1,配布資料,講師は授業の最初に配布資料を配った。,The instructor handed out the handout at the start of the class.,ready,,curated_batch10
replacement,replacement,1,1,交換 / 代替品,壊れた部品の交換には数日かかると言われた。,We were told that the replacement of the broken part would take several days.,ready,,curated_batch10
minister,minister,1,1,大臣,環境大臣が新しい政策案を発表した。,The minister of the environment announced a new policy proposal.,ready,,curated_batch10
predator,predator,1,1,捕食動物,その湖では大きな魚が小さな魚の捕食動物になっている。,Large fish are predators of smaller fish in the lake.,ready,,curated_batch10
observer,observer,1,1,観察者 / 観測者,外部の観察者が選挙の過程を見守った。,External observers monitored the election process.,ready,,curated_batch10
commission,commission,1,1,委員会,その委員会は報告書の内容を再検討した。,The commission reviewed the contents of the report again.,ready,,curated_batch10
supervisor,supervisor,1,1,監督者 / 上司,彼は現場の監督者として安全確認を行った。,He checked safety as the site supervisor.,ready,,curated_batch10
landscape,landscape,1,1,景観 / 風景,,The mountain landscape was beautiful.,ready,,matched_existing_exact
stereotype,stereotype,1,1,固定観念 / 決まりきったイメージ,その広告は古い固定観念を強めるおそれがある。,The advertisement may reinforce an old stereotype.,ready,,curated_batch10
graphic,graphic,1,1,図解の / 生々しい,その資料には分かりやすい図解が含まれていた。,The material included clear graphic explanations.,ready,,curated_batch10
pathway,pathway,1,1,通路 / 進路,庭の通路には夜になると明かりがつく。,Lights come on along the garden pathway at night.,ready,,curated_batch10
reunion,reunion,1,1,再会 / 同窓会,卒業から十年後に同級生との再会が実現した。,A reunion with former classmates took place ten years after graduation.,ready,,curated_batch10
cliff,cliff,1,1,崖,強風のため観光客は崖の近くに近づけなかった。,Tourists could not go near the cliff because of the strong wind.,ready,,curated_batch10
coordinator,coordinator,1,1,調整役 / コーディネーター,その調整役が各チームの予定をまとめた。,The coordinator organized the schedules of each team.,ready,,curated_batch10
depth,depth,1,1,深さ,その湖は場所によって深さが大きく異なる。,The depth of the lake varies greatly by location.,ready,,curated_batch10
liver,liver,1,1,肝臓,医師は肝臓の働きを確認するため血液検査を行った。,The doctor ordered a blood test to check liver function.,ready,,curated_batch10
monopoly,monopoly,1,1,独占,一社による市場の独占は問題視されている。,A monopoly by one company in the market is considered problematic.,ready,,curated_batch10
usage,usage,1,1,使用法 / 使用量,この単語の使用法は辞書で確認できる。,You can check the usage of this word in a dictionary.,ready,,curated_batch10
expectancy,expectancy,1,1,予想 / 期待,新しい制度への期待が地域全体で高まっている。,Expectancy for the new system is growing across the region.,ready,,curated_batch11
nowhere,nowhere,1,1,どこにも〜ない,嵐のため、近くに避難できる場所はどこにもなかった。,"Because of the storm, there was nowhere nearby to take shelter.",ready,,curated_batch11
courthouse,courthouse,1,1,裁判所の建物,記者たちは朝早くから裁判所の前に集まっていた。,Reporters gathered in front of the courthouse early in the morning.,ready,,curated_batch11
cove,cove,1,1,小さな入り江,私たちは静かな入り江で昼食を取った。,We had lunch in a quiet cove.,ready,,curated_batch11
dock,dock,1,1,船着き場,その船は日没前に船着き場へ戻った。,The boat returned to the dock before sunset.,ready,,curated_batch11
ministry,ministry,1,1,省 / 官庁,その省は来月、新しい指針を公表する予定だ。,The ministry plans to release new guidelines next month.,ready,,curated_batch11
inflammation,inflammation,1,1,炎症,医師は関節の炎症を抑える薬を処方した。,The doctor prescribed medicine to reduce the inflammation in the joint.,ready,,curated_batch11
cholesterol,cholesterol,1,1,コレステロール,彼は健康診断でコレステロール値の高さを指摘された。,He was told at his health check that his cholesterol level was high.,ready,,curated_batch11
personnel,personnel,1,1,職員 / 人員,空港では追加の警備人員が配置された。,Additional security personnel were assigned at the airport.,ready,,curated_batch11
controversy,controversy,1,1,論争,その発言は全国的な論争を引き起こした。,The remark sparked a nationwide controversy.,ready,,curated_batch11
recognition,recognition,1,1,認識 / 評価,彼女の努力はついに正式な評価を受けた。,Her efforts finally received official recognition.,ready,,curated_batch11
applicant,applicant,1,1,応募者 / 申請者,その職には百人以上の応募者が集まった。,More than one hundred applicants applied for the position.,ready,,curated_batch11
anthropologist,anthropologist,1,1,人類学者,その人類学者は島の文化を長年研究してきた。,The anthropologist has studied the island's culture for many years.,ready,,curated_batch11
sewage,sewage,1,1,下水 / 汚水,豪雨のあと、下水処理施設の点検が行われた。,The sewage treatment facilities were inspected after the heavy rain.,ready,,curated_batch11
acceptable,acceptable,1,1,受け入れられる / 許容できる,その案は全員にとって受け入れられるものではなかった。,The proposal was not acceptable to everyone.,ready,,curated_batch11
nuclear,nuclear,1,1,原子力の / 核の,その国では原子力政策をめぐる議論が続いている。,Debate continues in the country over nuclear policy.,ready,,curated_batch11
moral,moral,1,1,道徳的な,その問題には法的な面だけでなく道徳的な面もある。,The issue has not only a legal side but also a moral side.,ready,,curated_batch11
marine,marine,1,1,海の / 海洋の,研究者たちは海洋生物の変化を調べている。,Researchers are studying changes in marine life.,ready,,curated_batch11
conventional,conventional,1,1,従来の / ありふれた,その会社は従来の方法に代わる新しい仕組みを導入した。,The company introduced a new system to replace conventional methods.,ready,,curated_batch11
primitive,primitive,1,1,原始的な,その遺跡からは原始的な道具が多数見つかった。,Many primitive tools were found at the site.,ready,,curated_batch11
unfamiliar,unfamiliar,1,1,不慣れな / 見知らぬ,彼は見知らぬ環境で働くことに不安を感じていた。,He felt uneasy working in an unfamiliar environment.,ready,,curated_batch11
impractical,impractical,1,1,実用的でない,その案は理想的だが、今の予算では実用的でない。,"The idea is attractive, but it is impractical with the current budget.",ready,,curated_batch11
unpredictable,unpredictable,1,1,予測できない,山の天気は予測できないことが多い。,Weather in the mountains is often unpredictable.,ready,,curated_batch11
misleading,misleading,1,1,誤解を招く,その広告は消費者に誤解を招くおそれがある。,The advertisement may be misleading to consumers.,ready,,curated_batch11
plentiful,plentiful,1,1,豊富な,その地域では新鮮な水が豊富に手に入る。,Fresh water is plentiful in the region.,ready,,curated_batch11
Mediterranean,Mediterranean,1,1,地中海の / 地中海地方の,その料理には地中海地方の食文化の影響が見られる。,The dish shows the influence of Mediterranean food culture.,ready,,curated_batch11
unsafe,unsafe,1,1,安全でない,検査の結果、その橋は安全でないと判断された。,The bridge was judged unsafe after the inspection.,ready,,curated_batch11
feeble,feeble,1,1,弱々しい,彼は弱々しい声で助けを求めた。,He asked for help in a feeble voice.,ready,,curated_batch11
scenic,scenic,1,1,景色のよい,私たちは景色のよい海岸道路をゆっくり走った。,We drove slowly along a scenic coastal road.,ready,,curated_batch11
supplementary,supplementary,1,1,補足の / 補助的な,授業の理解を深めるため補足資料が配られた。,Supplementary materials were handed out to deepen understanding of the lesson.,ready,,curated_batch11
nosy,nosy,1,1,詮索好きな,彼は少し詮索好きなので、個人的なことをよく聞いてくる。,He is a bit nosy and often asks personal questions.,ready,,curated_batch11
intermediate,intermediate,1,1,中級の / 中間の,彼女は来月から中級レベルのクラスに移る。,She will move to an intermediate class next month.,ready,,curated_batch11
universal,universal,1,1,普遍的な / 万能の,感情を表す表情にはある程度普遍的なものがある。,Some facial expressions of emotion are universal.,ready,,curated_batch11
arise,arise,1,1,生じる / 起こる,作業中に問題が生じた場合はすぐに知らせてください。,Please let us know immediately if any problems arise during the work.,ready,,curated_batch11
implement,implement,1,1,実施する / 導入する,その学校は新しい評価制度を来年から実施する。,The school will implement a new evaluation system next year.,ready,,curated_batch11
reproduce,reproduce,1,1,再現する / 繁殖する,研究チームは実験結果を再現することに成功した。,The research team succeeded in reproducing the results of the experiment.,ready,,curated_batch11
seize,seize,1,1,つかむ / 押収する,警察は現場で違法な品物を押収した。,The police seized illegal goods at the scene.,ready,,curated_batch11
dominate,dominate,1,1,支配する / 優勢である,その企業は国内市場を長年支配してきた。,The company has dominated the domestic market for years.,ready,,curated_batch11
complicate,complicate,1,1,複雑にする,新しい規則が手続きをさらに複雑にした。,The new rules complicated the process even further.,ready,,curated_batch11
negotiate,negotiate,1,1,(条件について)交渉する,,They are negotiating a new contract.,ready,,matched_existing_exact
illustrate,illustrate,1,1,(例を挙げて)説明する,,The diagram illustrates how the machine works.,ready,,matched_existing_exact
encounter,encounter,1,1,(問題や人に)遭遇する,,We encountered heavy traffic on the way.,ready,,matched_existing_exact
confine,confine,1,1,(範囲内に)閉じこめる,,Please confine your comments to the main topic.,ready,,matched_existing_exact
transmit,transmit,1,1,伝える / 送る,その装置は遠くの観測所へデータを送信する。,The device transmits data to a distant observation station.,ready,,curated_batch11
administer,administer,1,1,(組織や制度を)運営する,,Nurses administered the vaccine carefully.,ready,,matched_existing_exact
resume,resume,1,1,再開する,雨がやんだあと、試合は午後に再開された。,The match resumed in the afternoon after the rain stopped.,ready,,curated_batch12
decay,decay,1,1,腐敗する / 衰える,放置された木材は雨の中で少しずつ腐敗した。,The abandoned wood decayed gradually in the rain.,ready,,curated_batch12
shrink,shrink,1,1,縮む / 減る,その湖は年々少しずつ縮小している。,The lake has been shrinking little by little each year.,ready,,curated_batch12
cherish,cherish,1,1,大切にする,彼女は祖母から受け継いだ時計を大切にしている。,She cherishes the watch she inherited from her grandmother.,ready,,curated_batch12
accommodate,accommodate,1,1,(人を)収容する / (事情に)対応する,,The hotel can accommodate 200 guests.,ready,,matched_existing_exact
withstand,withstand,1,1,耐える,その橋は強い風にも耐えられるよう設計されている。,The bridge is designed to withstand strong winds.,ready,,curated_batch12
halt,halt,1,1,止める / 停止する,濃い霧のため列車の運行が一時停止した。,Train service halted temporarily because of the heavy fog.,ready,,curated_batch12
transform,transform,1,1,変える / 変身させる,その計画は古い倉庫を地域施設へ変えるものだ。,The project will transform the old warehouse into a community facility.,ready,,curated_batch12
transplant,transplant,1,1,移植する,庭師は春に若い木を別の場所へ移植した。,The gardener transplanted the young tree to another place in spring.,ready,,curated_batch12
retail,retail,1,1,小売の / 小売りで,その会社は小売部門の売上拡大を目指している。,The company aims to expand sales in the retail sector.,ready,,curated_batch12
developer,developer,1,1,開発者,その開発者は教育向けの新しいアプリを公開した。,The developer released a new app for education.,ready,,curated_batch12
circulation,circulation,1,1,循環 / 流通,冬は手足の血液循環が悪くなりやすい。,Blood circulation in the hands and feet tends to worsen in winter.,ready,,curated_batch12
appliance,appliance,1,1,器具 / 家電製品,新しい家電製品を買う前に電気代も調べた。,We checked the electricity cost before buying the new appliance.,ready,,curated_batch12
innovation,innovation,1,1,革新,その企業は技術革新に多くの資金を投じている。,The company invests heavily in technological innovation.,ready,,curated_batch12
transaction,transaction,1,1,取引,その取引はすべてオンラインで記録されている。,All the transactions are recorded online.,ready,,curated_batch12
celebrity,celebrity,1,1,有名人,その有名人は環境保護の活動にも参加している。,The celebrity also takes part in environmental activities.,ready,,curated_batch12
checkup,checkup,1,1,健康診断 / 点検,彼は毎年春に健康診断を受けている。,He has a medical checkup every spring.,ready,,curated_batch12
makeup,makeup,1,1,化粧,舞台の前に俳優たちは化粧の準備をしていた。,The actors were getting their makeup ready before the performance.,ready,,curated_batch12
respondent,respondent,1,1,回答者,調査の回答者の多くが価格を重視していた。,Many survey respondents placed importance on price.,ready,,curated_batch12
well-being,well-being,1,1,幸福 / 健康,子どもの幸福を守ることが社会の大切な役目だ。,Protecting children's well-being is an important role of society.,ready,,curated_batch12
flaw,flaw,1,1,欠点 / 欠陥,設計上の欠陥が後になって見つかった。,A flaw in the design was found later.,ready,,curated_batch12
strain,strain,1,1,負担 / 緊張,長時間労働は心と体の両方に大きな負担を与える。,Long working hours place a heavy strain on both mind and body.,ready,,curated_batch12
rivalry,rivalry,1,1,競争 / ライバル関係,両校の長年のライバル関係は有名だ。,The long rivalry between the two schools is well known.,ready,,curated_batch12
publicity,publicity,1,1,世間の注目 / 宣伝,その事件は大きな世間の注目を集めた。,The incident attracted a great deal of publicity.,ready,,curated_batch12
consent,consent,1,1,同意,未成年者の参加には保護者の同意が必要だ。,Parental consent is required for minors to participate.,ready,,curated_batch12
addiction,addiction,1,1,依存症,専門家が若者のゲーム依存症について講演した。,A specialist gave a lecture on gaming addiction among young people.,ready,,curated_batch12
profession,profession,1,1,職業 / 専門職,彼女は教育を一生の職業に選んだ。,She chose education as her profession.,ready,,curated_batch12
sacrifice,sacrifice,1,1,犠牲 / 犠牲にすること,その成功の裏には家族の大きな犠牲があった。,There was great family sacrifice behind that success.,ready,,curated_batch12
assumption,assumption,1,1,想定 / 仮定,その計画は楽観的な想定に基づいていた。,The plan was based on optimistic assumptions.,ready,,curated_batch12
trait,trait,1,1,特性 / 特徴,忍耐強さは彼女の最も目立つ特性の一つだ。,Patience is one of her most notable traits.,ready,,curated_batch12
voucher,voucher,1,1,引換券 / クーポン,旅行会社から食事用の引換券が渡された。,The travel agency gave us a meal voucher.,ready,,curated_batch12
blaze,blaze,1,1,炎 / 火災,消防士たちは夜通し炎と戦った。,Firefighters battled the blaze all night.,ready,,curated_batch12
stance,stance,1,1,立場 / 姿勢,その問題に対する政府の立場は明確ではない。,The government's stance on the issue is not clear.,ready,,curated_batch12
dispute,dispute,1,1,論争 / 異議,,The dispute went to court.,ready,,matched_existing_exact
counterpart,counterpart,1,1,対応する相手 / 相当するもの,彼は海外支社の担当者と定期的に会議をしている。,He regularly meets with his counterpart at the overseas branch.,ready,,curated_batch12
perception,perception,1,1,認識 / 知覚,その出来事は地域の安全に対する人々の認識を変えた。,The event changed people's perception of local safety.,ready,,curated_batch12
custody,custody,1,1,保護 / 監護,裁判所は子どもの監護について判断を下した。,The court made a decision about custody of the child.,ready,,curated_batch12
dread,dread,1,1,強い不安 / 恐れ,彼は結果発表の日を強い不安をもって待っていた。,He awaited the day of the results with dread.,ready,,curated_batch12
incentive,incentive,1,1,(行動を促す)動機づけ,,Tax cuts can be an incentive.,ready,,matched_existing_exact
disgust,disgust,1,1,嫌悪感,その映像を見て多くの人が嫌悪感を覚えた。,Many people felt disgust when they saw the footage.,ready,,curated_batch12
province,province,1,1,州 / 地方,その州では農業が主要な産業になっている。,Agriculture is a major industry in the province.,ready,,curated_batch12
proponent,proponent,1,1,支持者 / 提唱者,その制度改革の提唱者たちは議会で説明を行った。,Proponents of the reform explained it in the assembly.,ready,,curated_batch12
commercial,commercial,1,1,商業の / 営利目的の,その地域では商業活動が近年大きく活発化している。,Commercial activity in the area has grown rapidly in recent years.,ready,,curated_batch12
excessive,excessive,1,1,過度の,過度のストレスは健康に悪影響を与えることがある。,Excessive stress can have a harmful effect on health.,ready,,curated_batch13
vulnerable,vulnerable,1,1,弱い立場の / 傷つきやすい,高齢者は暑さの影響を受けやすい立場にある。,Older people are vulnerable to extreme heat.,ready,,curated_batch13
protective,protective,1,1,保護する / 保護用の,作業員たちは保護用の服を着て現場に入った。,The workers entered the site wearing protective clothing.,ready,,curated_batch13
reluctant,reluctant,1,1,気が進まない,彼はその提案に賛成することに気が進まなかった。,He was reluctant to agree to the proposal.,ready,,curated_batch13
barren,barren,1,1,不毛の / 実りのない,その地域には木もほとんどない不毛の土地が広がっている。,Barren land with few trees stretches across the region.,ready,,curated_batch13
epidemic,epidemic,1,1,流行病 / 伝染病の流行,その町では冬にインフルエンザの流行が起きた。,An epidemic of influenza broke out in the town during winter.,ready,,curated_batch13
